Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
WFS1,1030.12,1397.83,819.3,1151.06,718.08,490.14,543.96,808,633.73,1819.35,529.06,161.02,1081.39,2119.22,854.13,249.73,256.78,688.78,224.97,1594.73,1183.45,703.28,1051.79,669.92,441.64,902.89,947.83
C8orf74,0,0,0,0,0,1.62,0,0,0,2.78,4.35,0,0,0,1.71,0,0,0,1.5,0,0,0,0,0,0.88,0,0
TRIP10,299.25,780.44,460.44,902.89,1709.26,638.15,551.56,647.07,728.11,836.53,450.94,1111.82,343.89,713.11,423.61,728.11,988.12,595.34,1119.56,698.41,698.41,473.41,1073.91,764.36,665.29,267.73,483.38
PAIP2B,17,84.04,31,49.91,56.68,96.68,65.26,23.76,21.16,44.57,123.5,52.82,136.19,71.5,54.72,9.48,54.72,30.34,73.03,27.05,61.68,25.54,41.22,24.11,93.35,248,53.19
ETV5,115.16,121.79,157.68,167.9,119.26,135.24,72.52,220.32,80.57,84.63,258.57,708.18,19.11,177.53,54.33,514.56,343.89,39.5,241.19,76.71,105.89,173.85,145.02,40.93,51.35,57.89,241.19
MNS1,83.45,75.64,46.5,53.57,68.55,103.69,33.06,87.03,116.78,25.91,57.89,136.19,67.59,79.45,137.14,194.36,141.02,15.11,101.54,144.01,63.45,100.13,84.63,80.57,150.17,54.72,81.14
CD63,19082,35118.87,25887.07,20881.4,24153.43,14461.21,35118.87,27363.16,21617.82,29531.18,21026.65,13033.07,9876.98,24660.96,21026.65,16727.26,19618.49,11345.82,13586.57,24660.96,23656.34,15824.9,28923.41,16496.96,18950.18,28923.41,20593.91
CARD9,34.51,287.01,39.5,157.68,41.81,49.21,17.77,57.89,40.64,748.61,59.97,72.52,5.45,71.5,33.3,51.71,98.04,12.45,138.1,25.72,36.01,44.89,100.13,82.29,34.26,66.65,38.67
RAB27B,198.47,175.07,629.35,291.04,403.5,532.74,176.29,162.14,543.96,215.77,947.83,29.7,371.22,285.03,503.95,124.37,98.04,116.78,91.41,75.64,507.46,211.31,140.04,264.03,65.26,902.89,323.03
ZNF491,21.16,30.56,42.71,22.1,17.77,43.94,53.57,41.22,25.35,21.63,77.79,9.41,38.4,22.92,30.78,27.05,31.22,14.35,102.97,12.74,58.71,66.65,21.63,76.17,19.68,33.3,16.75
ZNF678,90.14,229.72,157.68,135.24,101.54,161.02,301.33,144.01,98.73,49.21,684.02,27.05,65.26,58.3,133.36,81.14,118.43,201.25,165.57,202.66,164.42,78.34,71.5,181.28,120.1,145.02,102.25
9-Mar,336.79,497,241.19,256.78,295.11,251.48,299.25,291.04,460.44,395.18,78.34,189.02,262.2,417.77,356.05,108.14,92.05,228.13,389.72,358.54,264.03,379.04,417.77,199.85,299.25,423.61,363.56
MAD2L1,674.59,532.74,348.71,237.86,77.79,595.34,902.89,197.09,239.52,406.31,305.55,2303.12,241.19,353.59,1051.79,1008.9,1081.39,1208.34,909.17,529.06,221.86,521.76,119.26,532.74,651.58,713.11,255
CAMK2N2,5.68,7.06,6.73,7.34,2.76,223.41,12.74,10.71,7.75,99.43,9.27,6.01,5.06,13.52,12.83,8.99,2.01,214.27,3.53,39.22,4.39,6.67,10.88,2.23,23.93,3.99,15.22
RNASE1,3124.78,8078.22,2287.2,6516.03,4152.18,5441.3,3928.15,4543.8,5403.7,3325.99,2701.35,1529.73,389.72,4836.35,8305.36,5006.93,2701.35,1896.65,2451.44,3690.52,2434.5,3847.29,7280.4,3901.01,909.17,2047,1427.22
MRPL35,909.17,1233.75,1216.75,713.11,698.41,1044.52,1023,1111.82,890.44,743.43,669.92,921.88,1135.2,723.08,909.17,1427.22,842.36,884.29,1259.69,693.58,780.44,872.1,698.41,1350.18,902.89,1561.89,915.51
WNK3,2.48,2.12,14.35,4.9,5.45,5.45,1.45,2.73,1.58,4.17,13.42,29.06,47.84,8.99,64.34,26.86,100.83,0.99,9.06,5.45,2.43,1.91,2.68,0.37,11.47,1.91,4.21
GRID1,21.78,15.91,33.3,74.58,53.19,18.29,28.45,65.72,19.82,24.11,16.27,6.57,18.56,61.25,80.57,31.9,34.02,20.86,18.97,12.64,38.4,19.82,89.51,1.46,32.59,7,47.84
PDIA3,13399.51,21026.65,10733.74,6652.97,10296.45,6294.04,7695.57,15824.9,11909.94,9945.68,2351.53,8840.04,9945.68,12076.21,12943.04,10084.54,13033.07,6381.92,14163.58,16727.26,9876.98,12160.22,6983.79,21919.61,13586.57,10585.95,20737.16
SPIDR,1322.37,743.43,802.41,1051.79,620.67,947.83,1104.13,599.49,536.45,426.57,1268.46,902.89,1407.55,1322.37,909.17,1457.23,1159.07,2163.77,1030.12,1883.54,1199.98,1508.65,1066.48,1583.71,1832.01,346.29,1073.91
GOLGA1,237.86,303.44,258.57,379.04,269.6,312,204.07,420.68,332.14,409.15,293.07,291.04,242.88,283.05,351.14,135.24,312,361.04,134.3,147.06,271.48,264.03,275.28,253.23,314.17,348.71,251.48
CRYZL1,802.41,521.76,591.22,688.78,575.03,813.63,429.54,825,507.46,400.71,620.67,483.38,679.29,642.59,547.75,265.87,733.19,703.28,651.58,543.96,591.22,884.29,642.59,866.07,540.19,412,460.44
